Control,State,County,Type,Type,Date,Post Data,Parcels
1007,AR,Cross,Deed,OTC,9/11/2014,n/a,30
1202,AR,Cross,Deed,OTC,12/30/2014,n/a,54
1067,AR,Cross,Deed,OTC,11/3/2015,n/a,36
4633,AR,Cross,Deed,n/a,9/3/2013,6/21/2013,29
7567,AR,Cross,Deed,n/a,5/20/2014,2/28/2014,26
11533,AR,Cross,Deed,n/a,6/9/2015,4/29/2015,59
14777,AR,Cross,Deed,n/a,7/12/2016,4/28/2016,54
4769,AR,Dallas,Deed,Negotiated Sale,8/26/2013,7/1/2013,24
1194,AR,Dallas,Deed,OTC,12/14/2012,n/a,53
1161,AR,Dallas,Deed,OTC,4/12/2013,n/a,48
1177,AR,Dallas,Deed,OTC,6/22/2013,n/a,50
1186,AR,Dallas,Deed,OTC,1/8/2014,n/a,52
1235,AR,Dallas,Deed,OTC,9/11/2014,n/a,60
1399,AR,Dallas,Deed,OTC,12/30/2014,n/a,116
1470,AR,Dallas,Deed,OTC,11/3/2015,n/a,159
3584,AR,Dallas,Deed,n/a,5/28/2013,3/6/2013,48
8051,AR,Dallas,Deed,n/a,7/17/2014,4/18/2014,51
11534,AR,Dallas,Deed,n/a,7/23/2015,4/29/2015,158
15134,AR,Dallas,Deed,n/a,8/4/2016,7/22/2016,57
1317,AR,Desha,Deed,OTC,12/14/2012,n/a,80
1312,AR,Desha,Deed,OTC,4/12/2013,n/a,79
